date,state,district,pincode,bio_age_5_17,bio_age_17_
14-12-2025,Tamil Nadu,Krishnagiri,635203,0,2
16-12-2025,Tamil Nadu,Krishnagiri,636806,0,2
03-01-2026,Tamil Nadu,Krishnagiri,635002,1,0
03-01-2026,Tamil Nadu,Krishnagiri,635103,1,1
03-01-2026,Tamil Nadu,Krishnagiri,635107,7,1
03-01-2026,Tamil Nadu,Krishnagiri,635110,0,1
03-01-2026,Tamil Nadu,Krishnagiri,635112,6,2
03-01-2026,Tamil Nadu,Krishnagiri,635116,2,0
03-01-2026,Tamil Nadu,Krishnagiri,635117,5,4
03-01-2026,Tamil Nadu,Krishnagiri,635201,4,1
03-01-2026,Tamil Nadu,Krishnagiri,635304,3,3
03-01-2026,Tamil Nadu,Krishnagiri,635307,1,5
01-01-2026,Tamil Nadu,Krishnagiri,635001,50,30
01-01-2026,Tamil Nadu,Krishnagiri,635103,6,2
01-01-2026,Tamil Nadu,Krishnagiri,635109,87,43
01-01-2026,Tamil Nadu,Krishnagiri,635111,1,0
01-01-2026,Tamil Nadu,Krishnagiri,635112,47,22
01-01-2026,Tamil Nadu,Krishnagiri,635116,6,5
01-01-2026,Tamil Nadu,Krishnagiri,635119,12,5
01-01-2026,Tamil Nadu,Krishnagiri,635124,6,2
01-01-2026,Tamil Nadu,Krishnagiri,635204,21,4
02-01-2026,Tamil Nadu,Krishnagiri,635105,8,3
02-01-2026,Tamil Nadu,Krishnagiri,635108,9,1
02-01-2026,Tamil Nadu,Krishnagiri,635118,6,11
02-01-2026,Tamil Nadu,Krishnagiri,635120,8,5
02-01-2026,Tamil Nadu,Krishnagiri,635121,15,4
02-01-2026,Tamil Nadu,Krishnagiri,635204,19,3
06-12-2025,Tamil Nadu,Krishnagiri,636812,0,1
07-12-2025,Tamil Nadu,Krishnagiri,635106,0,2
07-12-2025,Tamil Nadu,Krishnagiri,635110,0,6
07-12-2025,Tamil Nadu,Krishnagiri,635116,0,1
07-12-2025,Tamil Nadu,Krishnagiri,635204,1,2
07-12-2025,Tamil Nadu,Krishnagiri,635207,0,2
16-11-2025,Tamil Nadu,Krishnagiri,635119,0,2
28-11-2025,Tamil Nadu,Krishnagiri,635111,0,2
30-11-2025,Tamil Nadu,Krishnagiri,635207,0,1
23-11-2025,Tamil Nadu,Krishnagiri,635101,0,4
23-11-2025,Tamil Nadu,Krishnagiri,635307,0,1
09-11-2025,Tamil Nadu,Krishnagiri,635204,0,1
02-11-2025,Tamil Nadu,Krishnagiri,635001,1,1
02-11-2025,Tamil Nadu,Krishnagiri,635002,0,1
